x,y,Ex_mag,Ex_phase,Ey_mag,Ey_phase,Ez_mag,Ez_phase
0.052000000000000116,-0.08,9.752943908209478e+18,114.42935468045641,1.5762612513822704e+19,-63.91588613795327,1.7755870186529623e+20,-68.49219108238195
0.05600000000000012,-0.08,1.0042532125511072e+19,88.72260757325836,1.4175699591942762e+19,-84.53301887370284,1.7457049213201272e+20,-95.3138062401003
0.06000000000000012,-0.08,9.681036151183522e+18,60.50588607831116,1.4051896051166456e+19,-118.8298964134891,1.708866294081097e+20,-123.05235939179978
0.06400000000000013,-0.08,1.0159236864229726e+19,34.30713768836715,1.2647605492522013e+19,-149.96918508172985,1.6666555922512347e+20,-152.75918278842403
0.06800000000000013,-0.08,1.0034961185288684e+19,-2.13446790384523,1.1244878998669228e+19,-176.34127122299745,1.6281224447324583e+20,177.15116321138993
0.07200000000000013,-0.08,9.460828628298822e+18,-31.188529493244335,1.1050857695334517e+19,156.15276989279357,1.57890167441368e+20,145.2711816841549
0.07600000000000014,-0.08,9.695011047410661e+18,-64.27229177089707,1.0841660908040049e+19,114.83525278376086,1.5466230515238863e+20,113.11123868553518
-0.08,-0.076,1.086842657997835e+19,118.00705182765016,9.64195503771981e+18,119.32424952624584,1.555932483502302e+20,112.75839227252214
-0.076,-0.076,9.85669445810066e+18,149.9270422842662,1.0931329255289385e+19,150.0551293772807,1.5837130327878936e+20,147.3721999404278
-0.072,-0.076,1.0233093293808632e+19,-170.1714110367045,1.1217526202538525e+19,-174.79689404392863,1.6279033184368712e+20,-179.77804247390804
-0.06799999999999999,-0.076,1.1801257713973844e+19,-144.150667190366,1.2072958602644134e+19,-140.31628673912408,1.670832713140281e+20,-147.14300981917805
-0.06399999999999999,-0.076,1.12409543038777e+19,-110.26581318449577,1.33481217821463e+19,-107.08710962081125,1.715345201058219e+20,-115.37321428871397
-0.059999999999999984,-0.076,1.127035607117752e+19,-80.55463323153995,1.3284308898802274e+19,-76.52246674181646,1.7556775312368894e+20,-85.45920046611958
-0.05599999999999998,-0.076,1.1882826437343044e+19,-50.43021773853621,1.490183162017965e+19,-49.13545302174644,1.797640125852219e+20,-56.1566959754415
-0.05199999999999998,-0.076,1.2055713465684222e+19,-20.761887706802366,1.7472632044524265e+19,-22.80146859780765,1.8461400237967222e+20,-28.679509960906465
